Experimento,date,publicScore,envios,semilla,num_leaves,min_data_in_leaf,feature_fraction,learning_rate,num_iterations,drift
9105,,7.506,1900,100379,256,4940,1,0.10,1139,IPC
9107,,7.316,1900,101111,241,2727,1,0.10,779,IPC
9108,,6.715,1800,250007,216,4912,1,0.10,207,IPC
9109,,8.136,2000,700001,255,5247,1,0.10,859,IPC
9110,,7.836,2400,800011,216,7393,1,0.10,454,IPC
9111,,6.225,1800,100379,256,2967,1,0.10,746,Nucleo
9112,2025-09-11 18:54:49,6.425,2200,101111,96,8191,1,0.10,1209,Nucleo
9113,,7.065,2000,250007,49,5478,1,0.10,132,Nucleo
9114,,7.115,2100,700001,152,8190,1,0.10,1282,Nucleo
9115,,7.135,1900,800011,144,7444,1,0.10,1378,Nucleo
9116,,6.435,2400,100379,60,2100,1,0.10,1032,Dolar_Blue
9117,,6.505,1800,101111,202,4281,1,0.10,215,Dolar_Blue
9118,2025-09-12 17:35:58,7.506,1800,250007,120,8185,1,0.10,1382,Dolar_Blue
9119,,7.336,1800,700001,220,8190,1,0.10,482,Dolar_Blue
9120,,6.055,,800011,,,1,0.10,,Dolar_Blue
9121,,4.123,,100379,,,,,,STD
9122,,5.154,,101111,,,,,,STD
9123,,5.174,,250007,,,,,,STD
9126,,6.735,,237689,,,,,,IPC
9127,,7.055,,456791,,,,,,IPC
9128,,6.645,,628753,,,,,,IPC
9129,2025-09-15 12:37:04,6.695,1800,831907,68,3751,1,0.10,,IPC
9130,2025-09-15 12:45:51,6.195,2100,942841,256,5432,1,0.10,,IPC
9131,,6.575,,456791,,,,,,Dolar_Blue
9132,2025-09-15 12:39:09,7.586,1800,456791,104,6917,1,0.10,,Dolar_Blue
9203,2025-09-11T23:22:51.540Z,6.885,1900,100379,189,8188,1,0.1,502,Ninguno
9204,2025-09-11T23:53:10.273Z,7.446,2300,101111,256,5717,1,0.1,1579,Ninguno
9205,2025-09-12T02:31:40.857Z,6.365,2200,250007,255,8188,1,0.1,1531,Ninguno
9206,2025-09-12T05:23:00.943Z,7.356,2100,700001,256,7526,1,0.1,1278,Ninguno
9207,2025-09-12T18:26:24.160Z,6.995,2400,800011,255,3364,1,0.1,207,Ninguno
9208,2025-09-12T08:28:59.687Z,3.873,1800,100379,168,27,1,0.1,1367,Rank _Simple
9209,2025-09-12T07:55:01.690Z,6.225,2100,101111,151,3031,1,0.1,638,Rank _Simple
9210,2025-09-12T18:57:33.790Z,6.625,1800,250007,256,2777,1,0.1,548,Rank _Simple
9211,2025-09-12T19:13:11.320Z,5.284,2400,700001,256,3083,1,0.1,211,Rank _Simple
9212,2025-09-13T20:01:00.663Z,7.045,2400,800011,253,1927,0.2961435308,0.01006997796,465,Rank _Simple
9213,2025-09-13T04:34:09.143Z,6.645,1800,237689,207,8189,1,0.1,1312,Ninguno
9214,2025-09-14T00:03:42.830Z,6.985,2000,456791,158,7606,0.3568028007,0.0100206259,1789,Ninguno
9215,2025-09-13T18:34:13.533Z,7.406,2000,628753,155,8157,0.1001127755,0.01538757512,1207,Ninguno
9216,2025-09-13T10:18:14.443Z,7.486,2400,831907,87,1607,1,0.1,1297,Ninguno
9217,2025-09-14T04:51:25.610Z,6.605,2000,942841,256,8190,0.6258626936,0.01009941632,1524,Ninguno
9218,2025-09-14T03:07:27.860Z,7.045,2400,100379,149,1256,0.28865246,0.01406127684,386,Rank_Cero_Fijo
9219,2025-09-14T07:01:45.450Z,7.266,1800,101111,256,4061,0.1017010977,0.01009221603,1251,Rank_Cero_Fijo
9220,2025-09-14T10:45:33.570Z,7.005,2000,250007,224,5514,0.1002950936,0.01028011692,828,Rank_Cero_Fijo
9221,2025-09-14T15:14:11.523Z,7.636,2200,700001,176,2693,0.4502462626,0.01388450809,434,Rank_Cero_Fijo
9222,2025-09-14T09:51:39.643Z,7.255,1800,800011,212,4496,0.1130880361,0.01023103974,1037,Rank_Cero_Fijo
9223,2025-09-14T16:07:05.910Z,7.125,2000,237689,256,951,0.6418989687,0.01005656524,630,Rank_Cero_Fijo
